STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/28/2000,0,,,58,64,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/29/2000,0.08,,,61,65,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",9/30/2000,0.26,,,58,61,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/1/2000,0.02,,,54,57,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/2/2000,0,,,55,62,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/3/2000,0,,,54,61,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/4/2000,0,,,51,61,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/5/2000,0,,,56,66,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/6/2000,0,,,63,77,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/7/2000,0,,,61,75,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/8/2000,0,,,57,65,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/9/2000,0.45,,,54,56,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/10/2000,0.01,,,53,56,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/11/2000,0,,,54,60,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/12/2000,0,,,53,60,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/13/2000,0.06,,,55,58,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/14/2000,0,,,51,57,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/15/2000,0,,,47,54,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/16/2000,0.62,,,53,57,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/17/2000,0.32,,,58,66,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/18/2000,0,,,53,58,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/19/2000,0.49,,,50,55,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",10/20/2000,0.79,,,52,58,46
